Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8552738734,6.601550545,8.105542171,3506,1,full_before_split,split_separate
bagEarth,0.855263195,6.701952292,8.233427266,2827,1,full_before_split,split_separate
bagEarth,0.8552619192,6.500369449,8.23066368,193,1,full_before_split,split_separate
bagEarth,0.8552598105,6.392903614,8.219494802,1973,1,full_before_split,split_separate
bagEarth,0.8551713038,6.416310544,8.121142955,3323,1,full_before_split,split_separate
bagEarth,0.8551117823,6.196452764,8.040398798,2243,1,full_before_split,split_separate
bagEarth,0.8550804797,6.55369598,8.323128774,1904,1,full_before_split,split_separate
bagEarth,0.8550481598,6.498743407,8.154840814,1126,1,full_before_split,split_separate
bagEarth,0.8549069774,6.577702147,8.057419067,187,1,full_before_split,split_separate
bagEarth,0.8547807186,6.884614409,8.627047991,3433,1,full_before_split,split_separate
bagEarth,0.8547586191,6.455191999,8.142047192,3209,1,full_before_split,split_separate
bagEarth,0.8547426393,6.35401208,8.149550152,3684,1,full_before_split,split_separate
bagEarth,0.8547128475,6.201042864,7.923333691,3754,1,full_before_split,split_separate
bagEarth,0.8547095921,6.306765439,8.233418866,1411,1,full_before_split,split_separate
bagEarth,0.8545396315,6.624333663,8.171584132,1609,1,full_before_split,split_separate
bagEarth,0.854508943,6.347056042,7.989139598,2472,1,full_before_split,split_separate
bagEarth,0.8545049882,6.265799937,8.00837685,290,1,full_before_split,split_separate
bagEarth,0.8544436394,6.245788148,8.132773747,607,1,full_before_split,split_separate
bagEarth,0.8544165103,6.587211058,8.337851795,1630,1,full_before_split,split_separate
bagEarth,0.854345847,6.218254684,8.144328547,899,1,full_before_split,split_separate
bagEarth,0.8543302221,6.390456711,7.988963322,2388,1,full_before_split,split_separate
bagEarth,0.8542433827,6.273215387,8.038089919,2610,1,full_before_split,split_separate
bagEarth,0.8542206857,6.513478426,8.114572841,1003,1,full_before_split,split_separate
bagEarth,0.8542169695,5.990530885,7.838788287,876,1,full_before_split,split_separate
bagEarth,0.8541236875,6.446469869,8.112693124,3550,1,full_before_split,split_separate
bagEarth,0.8540724662,6.683266415,8.380533825,490,1,full_before_split,split_separate
bagEarth,0.8540078765,6.519383155,8.246539932,1341,1,full_before_split,split_separate
bagEarth,0.8539971734,6.427353576,8.046804592,1131,1,full_before_split,split_separate
bagEarth,0.8539705894,6.280807166,7.998153798,3607,1,full_before_split,split_separate
bagEarth,0.8539391395,6.398057909,7.859744926,3511,1,full_before_split,split_separate
bagEarth,0.8539299768,6.739324574,8.505439563,1753,1,full_before_split,split_separate
bagEarth,0.8539037113,6.751918015,8.278202953,2063,1,full_before_split,split_separate
bagEarth,0.853890812,6.136654364,7.951503553,3753,1,full_before_split,split_separate
bagEarth,0.853810544,6.368427171,8.070926742,2199,1,full_before_split,split_separate
bagEarth,0.8537495532,6.393939474,8.037689501,2646,1,full_before_split,split_separate
bagEarth,0.8536760452,6.302740246,8.133747708,1211,1,full_before_split,split_separate
bagEarth,0.8536256513,6.496654887,8.034303816,1739,1,full_before_split,split_separate
bagEarth,0.8536049459,6.776739433,8.453587563,1174,1,full_before_split,split_separate
bagEarth,0.8535831205,6.527427682,8.182851131,2313,1,full_before_split,split_separate
bagEarth,0.8535679291,6.797053866,8.210540469,710,1,full_before_split,split_separate
bagEarth,0.8534751277,6.353243551,7.920548971,218,1,full_before_split,split_separate
bagEarth,0.8534562693,6.378142662,8.187244662,2539,1,full_before_split,split_separate
bagEarth,0.8534154381,6.266679052,7.936310004,1641,1,full_before_split,split_separate
bagEarth,0.8533786693,6.196086224,8.06352269,1432,1,full_before_split,split_separate
bagEarth,0.8533328567,6.273733992,8.282936205,2380,1,full_before_split,split_separate
bagEarth,0.8533270339,6.637094789,8.122804781,1724,1,full_before_split,split_separate
bagEarth,0.8532726663,6.258718216,8.281327775,3740,1,full_before_split,split_separate
bagEarth,0.8532489841,6.288633024,8.155996025,2373,1,full_before_split,split_separate
bagEarth,0.8531254702,6.353233367,8.179697697,311,1,full_before_split,split_separate
bagEarth,0.8530990928,6.377503045,8.126808716,2172,1,full_before_split,split_separate
bagEarth,0.853039988,6.421187583,7.990213391,2034,1,full_before_split,split_separate
bagEarth,0.8529442894,6.438564803,8.076563138,1390,1,full_before_split,split_separate
bagEarth,0.8527637972,6.780955161,8.422845488,2507,1,full_before_split,split_separate
bagEarth,0.8527218948,6.345775219,7.99814879,1020,1,full_before_split,split_separate
bagEarth,0.8527126134,6.964166917,8.361111596,2578,1,full_before_split,split_separate
bagEarth,0.8526513815,5.948569262,7.804461356,260,1,full_before_split,split_separate
